;;Delta_time;MAX;AVG;MIN;;;;
2015;1;1;-2.78;-4.83;-12.22;;;;
2015;1;2;2.22;-1.11;-2.78;;;;
2015;1;3;6.11;3.5;1.11;;;;
2015;1;4;5;1.94;0;;;;
2015;1;5;2.78;1.11;-1.11;;;;
2015;1;6;2.78;-1.56;-7.22;;;;
2015;1;7;-6.11;-8.22;-12.78;;;;
2015;1;8;-2.78;-4.5;-6.11;;;;
2015;1;9;8.89;1.17;-2.78;;;;
2015;1;10;16.11;8.06;3.89;;;;
2015;1;11;16.11;7.11;2.78;;;;
2015;1;12;7.78;4.5;1.11;;;;
2015;1;13;8.89;1.33;-5;;;;
2015;1;14;2.78;-0.39;-3.89;;;;
2015;1;15;8.89;3.67;-1.11;;;;
2015;1;16;6.11;3.22;0;;;;
2015;1;17;6.11;3.11;-1.11;;;;
2015;1;18;6.11;4.61;2.78;;;;
2015;1;19;6.11;4.22;2.22;;;;
2015;1;20;7.22;4.67;2.22;;;;
2015;1;21;6.11;5.44;3.89;;;;
2015;1;22;7.78;6.56;6.11;;;;
2015;1;23;8.89;6.89;5;;;;
2015;1;24;6.11;3.83;2.22;;;;
2015;1;25;2.22;0.5;0;;;;
2015;1;26;2.78;0.28;-3.89;;;;
2015;1;27;1.11;-2.67;-7.22;;;;
2015;1;28;5;-0.72;-5;;;;
2015;1;29;0;-1.72;-5;;;;
2015;1;30;6.11;2.11;0;;;;
2015;1;31;5;1;-3.89;;;;
2015;2;1;3.89;-0.5;-5;;;;
2015;2;2;3.89;0.72;-2.22;;;;
2015;2;3;5;-0.39;-6.11;;;;
2015;2;4;1.11;0.5;0;;;;
2015;2;5;3.89;0.72;-2.78;;;;
2015;2;6;3.89;1.17;-1.11;;;;
2015;2;7;3.89;-0.67;-3.89;;;;
2015;2;8;3.89;0.22;-3.89;;;;
2015;2;9;1.11;-1.28;-3.89;;;;
2015;2;10;5;2.83;0;;;;
2015;2;11;10;3.94;-2.22;;;;
2015;2;12;7.22;3;-2.78;;;;
2015;2;13;7.22;0;-6.11;;;;
2015;2;14;8.89;1.39;-5;;;;
2015;2;15;8.89;2.61;-2.78;;;;
2015;2;16;7.78;1.17;-6.11;;;;
2015;2;17;2.78;-0.83;-7.22;;;;
2015;2;18;6.11;-1.56;-8.89;;;;
2015;2;19;5;-2.06;-8.89;;;;
2015;2;20;8.89;-0.39;-7.78;;;;
2015;2;21;11.11;4.22;-2.78;;;;
2015;2;22;10;5.61;-1.11;;;;
2015;2;23;7.78;7.06;6.11;;;;
2015;2;24;10;8;6.11;;;;
2015;2;25;12.22;8.44;6.11;;;;
2015;2;26;7.22;5.94;5;;;;
2015;2;27;7.22;5.67;3.89;;;;
2015;2;28;8.89;6.44;3.89;;;;
2015;3;1;8.89;5.61;2.22;;;;
2015;3;2;12.22;6.56;1.11;;;;
2015;3;3;8.89;4.72;-2.78;;;;
2015;3;4;11.11;3.06;-2.78;;;;
2015;3;5;8.89;3.83;-1.11;;;;
2015;3;6;8.89;3.61;-1.11;;;;
